,,N1n,N2n,Nsoil1n,Nsoil2n,Q1n,Q2n,tmax1n,tmax2n,tmax3n,tmax4n,tmeanN.1n,tmeanN.2n,TmeanR1n,TmeanR2n,Tmin1n,Tmin2n,Tmin3n,Tmin4n,W1n,W2n,WN.1n,WN.2n,WN.3n,WN.4n
1,ArtemisiaTridentata,0.445274879,0.692459656,0.442876964,0.536636447,0.656769221,0.876030071,0.297320895,0.351217003,0.953078388,0.979091699,0.330613535,0.409262799,0.221769609,0.280874981,0.327152751,0.412310039,0.766697009,0.876639258,0.50669976,0.707225814,0.365816209,0.615959182,1,1
2,AchnatherumHymenoides,0.539272728,0.733422195,0.639958398,0.873576421,0.566720692,0.707044203,0.390383793,0.515679058,0.936425501,0.990358015,0.283784743,0.327985459,0.426323686,0.531903402,0.732873323,0.782674837,1,1,0.782381538,0.917698126,0.443553922,0.655501107,1,1
3,AtriplexCanescens,0.628946574,0.685884121,0.342202023,0.45721821,0.440219972,0.616764885,0.371030945,0.511054128,0.977162395,1,0.356000057,0.503880482,0.476951813,0.546225253,0.575306052,0.697398456,1,1,0.348649889,0.476093935,0.15878987,0.328421985,1,1
4,AtriplexConfertifolia,0.604819938,0.753759166,0.214381617,0.438675786,0.59623877,0.748599909,0.34203889,0.37443744,1,1,0.233756379,0.375825318,0.289278855,0.395660989,0.185618062,0.32881576,0.914707348,0.955521391,0.594435819,0.676819511,0.629525987,0.707160871,1,1
5,AtriplexHeterosperma,0.764324668,0.834830111,0.497313687,0.579666692,0.684956608,0.783788401,0.228581473,0.331029141,0.969283157,1,0.322897054,0.415712772,0.29813452,0.402482343,0.693598392,0.736497977,1,1,0.368125064,0.634424742,0.528609366,0.655812952,1,1
6,CeratoidesLanata,0.778135553,1,0.784611717,0.867544817,0.518736345,0.639576638,0.345839642,0.489255759,0.780332389,0.883651309,0.221868459,0.325525083,0.375122889,0.455640047,0.572986123,0.696192478,0.948132667,0.982144468,0.679164195,0.909229327,0.28356588,0.495673896,0.667914833,0.911609335
7,ChondrosumGracileKunth,0.322400672,0.557257803,0.45177343,0.546470222,0.401891789,0.596365082,0.242682934,0.292078733,0.674663664,0.764311447,0.165664059,0.241833236,0.402432606,0.46319553,0.5324509,0.577719995,0.750573649,0.880898378,0.6886714,0.897354613,0.454364141,0.678130945,1,1
8,ColeogyneRamosissima,0.212444115,0.380783464,0.87687386,1,0.404466991,0.616658853,0.341372126,0.439883017,0.808659566,0.947448555,0.397050215,0.436275995,0.069529966,0.131527155,0.150573744,0.262186048,0.956255917,1,0.256248613,0.39503793,0.628379886,0.87419099,1,1
9,EphedraTorreyana,0.399901221,0.526996524,0.069364009,0.217359937,0.597148722,0.891052593,0.385306123,0.468418575,1,1,0.327222828,0.431016385,0.146328635,0.255754934,0.138473424,0.203093427,0.587568373,0.690278621,0.728441916,0.896752358,0.432755795,0.667535138,1,1
10,EphedraViridis,0.735056182,0.900958304,0.574601506,0.801708224,0.321366225,0.488940942,0.226174754,0.335448376,0.660576484,0.741012034,0.216684074,0.361652188,0.231245145,0.285944097,0.35518869,0.425263954,0.777049087,0.825071116,0.408707019,0.647648873,0.608650927,0.818149229,1,1
11,HesperostipaComataComata,0.660907201,0.891520191,0.618387025,0.89910661,0.559102796,0.665762549,0.437909695,0.516437128,1,1,0.287182268,0.417205565,0.208043956,0.263298094,0.474399115,0.62430722,0.902840778,0.985029533,0.571367205,0.817869563,0.176175464,0.325716639,1,1
12,HilariaJamesii,0.372717383,0.46342592,0.686245081,0.716782472,0.876315396,0.936825087,0.188086035,0.298616983,0.615170557,0.680671955,0.288857193,0.359762244,0.31253738,0.348936777,0.379761787,0.408366476,0.944689495,0.972665786,0.170088091,0.388653411,0.605463724,0.654905363,1,1
13,SarcobatusVermiculatus,0.781311904,0.91140268,0.643721989,0.855189025,0.49659766,0.690525924,0.114583473,0.173516033,0.846816095,0.956602134,0.029488752,0.062068274,0.307927651,0.440084622,0.626627991,0.7315679,1,1,0.647820402,0.760965974,0.575841076,0.795125698,1,1
